__Ini_ID,Role_validEntry,CustomerProfile_primeCustomer,CustomerProfile_billingAddress,Role_tries,Customer_proceedToPayment,WebUser_performLoginAction,CustomerProfile_totalPriceOfItems
0,True,True,42118,0,True,True,4
1,True,True,42118,0,True,True,48
2,True,True,42118,0,True,False,4
3,True,True,42118,0,True,False,48
4,True,True,42118,0,False,True,4
5,True,True,42118,0,False,True,48
6,True,True,42118,0,False,False,4
7,True,True,42118,0,False,False,48
8,True,True,42118,2,True,True,4
9,True,True,42118,2,True,True,48
10,True,True,42118,2,True,False,4
11,True,True,42118,2,True,False,48
12,True,True,42118,2,False,True,4
13,True,True,42118,2,False,True,48
14,True,True,42118,2,False,False,4
15,True,True,42118,2,False,False,48
16,True,True,97838,0,True,True,4
17,True,True,97838,0,True,True,48
18,True,True,97838,0,True,False,4
19,True,True,97838,0,True,False,48
20,True,True,97838,0,False,True,4
21,True,True,97838,0,False,True,48
22,True,True,97838,0,False,False,4
23,True,True,97838,0,False,False,48
24,True,True,97838,2,True,True,4
25,True,True,97838,2,True,True,48
26,True,True,97838,2,True,False,4
27,True,True,97838,2,True,False,48
28,True,True,97838,2,False,True,4
29,True,True,97838,2,False,True,48
30,True,True,97838,2,False,False,4
31,True,True,97838,2,False,False,48
32,True,False,42118,0,True,True,4
33,True,False,42118,0,True,True,48
34,True,False,42118,0,True,False,4
35,True,False,42118,0,True,False,48
36,True,False,42118,0,False,True,4
37,True,False,42118,0,False,True,48
38,True,False,42118,0,False,False,4
39,True,False,42118,0,False,False,48
40,True,False,42118,2,True,True,4
41,True,False,42118,2,True,True,48
42,True,False,42118,2,True,False,4
43,True,False,42118,2,True,False,48
44,True,False,42118,2,False,True,4
45,True,False,42118,2,False,True,48
46,True,False,42118,2,False,False,4
47,True,False,42118,2,False,False,48
48,True,False,97838,0,True,True,4
49,True,False,97838,0,True,True,48
50,True,False,97838,0,True,False,4
51,True,False,97838,0,True,False,48
52,True,False,97838,0,False,True,4
53,True,False,97838,0,False,True,48
54,True,False,97838,0,False,False,4
55,True,False,97838,0,False,False,48
56,True,False,97838,2,True,True,4
57,True,False,97838,2,True,True,48
58,True,False,97838,2,True,False,4
59,True,False,97838,2,True,False,48
60,True,False,97838,2,False,True,4
61,True,False,97838,2,False,True,48
62,True,False,97838,2,False,False,4
63,True,False,97838,2,False,False,48
64,False,True,42118,0,True,True,4
65,False,True,42118,0,True,True,48
66,False,True,42118,0,True,False,4
67,False,True,42118,0,True,False,48
68,False,True,42118,0,False,True,4
69,False,True,42118,0,False,True,48
70,False,True,42118,0,False,False,4
71,False,True,42118,0,False,False,48
72,False,True,42118,2,True,True,4
73,False,True,42118,2,True,True,48
74,False,True,42118,2,True,False,4
75,False,True,42118,2,True,False,48
76,False,True,42118,2,False,True,4
77,False,True,42118,2,False,True,48
78,False,True,42118,2,False,False,4
79,False,True,42118,2,False,False,48
80,False,True,97838,0,True,True,4
81,False,True,97838,0,True,True,48
82,False,True,97838,0,True,False,4
83,False,True,97838,0,True,False,48
84,False,True,97838,0,False,True,4
85,False,True,97838,0,False,True,48
86,False,True,97838,0,False,False,4
87,False,True,97838,0,False,False,48
88,False,True,97838,2,True,True,4
89,False,True,97838,2,True,True,48
90,False,True,97838,2,True,False,4
91,False,True,97838,2,True,False,48
92,False,True,97838,2,False,True,4
93,False,True,97838,2,False,True,48
94,False,True,97838,2,False,False,4
95,False,True,97838,2,False,False,48
96,False,False,42118,0,True,True,4
97,False,False,42118,0,True,True,48
98,False,False,42118,0,True,False,4
99,False,False,42118,0,True,False,48
100,False,False,42118,0,False,True,4
101,False,False,42118,0,False,True,48
102,False,False,42118,0,False,False,4
103,False,False,42118,0,False,False,48
104,False,False,42118,2,True,True,4
105,False,False,42118,2,True,True,48
106,False,False,42118,2,True,False,4
107,False,False,42118,2,True,False,48
108,False,False,42118,2,False,True,4
109,False,False,42118,2,False,True,48
110,False,False,42118,2,False,False,4
111,False,False,42118,2,False,False,48
112,False,False,97838,0,True,True,4
113,False,False,97838,0,True,True,48
114,False,False,97838,0,True,False,4
115,False,False,97838,0,True,False,48
116,False,False,97838,0,False,True,4
117,False,False,97838,0,False,True,48
118,False,False,97838,0,False,False,4
119,False,False,97838,0,False,False,48
120,False,False,97838,2,True,True,4
121,False,False,97838,2,True,True,48
122,False,False,97838,2,True,False,4
123,False,False,97838,2,True,False,48
124,False,False,97838,2,False,True,4
125,False,False,97838,2,False,True,48
126,False,False,97838,2,False,False,4
127,False,False,97838,2,False,False,48
